epoch,loss,top1,top10,top5,val_loss,val_top1,val_top10,val_top5
0,6.156021595001221,0.013780227862298489,0.14420340955257416,0.07796941697597504,5.559636116027832,0.033240027725696564,0.21553534269332886,0.13086074590682983
1,5.271903038024902,0.033961594104766846,0.2299075424671173,0.13602417707443237,5.277843952178955,0.033240027725696564,0.22428271174430847,0.12981106340885162
2,5.135738372802734,0.04800853505730629,0.24404338002204895,0.15336059033870697,5.208341121673584,0.048985306173563004,0.22953113913536072,0.15115465223789215
3,5.036145210266113,0.058588191866874695,0.25977951288223267,0.1635846346616745,5.146385669708252,0.0517844632267952,0.24422673881053925,0.15500350296497345
4,4.935462951660156,0.07103484869003296,0.27756044268608093,0.18581080436706543,5.088877201080322,0.05843247100710869,0.26242128014564514,0.1773967742919922
5,4.820226192474365,0.07956970483064651,0.3035206198692322,0.20634779334068298,5.040529251098633,0.06263121217489243,0.286214143037796,0.1927921622991562
6,4.6886115074157715,0.10081792622804642,0.3312588930130005,0.2368421107530594,5.010707855224609,0.07172848284244537,0.29601120948791504,0.2071378529071808
7,4.535505294799805,0.12331081181764603,0.36210882663726807,0.27062588930130005,5.0920867919921875,0.06857942789793015,0.3040587902069092,0.20398880541324615
8,4.37438440322876,0.1450035572052002,0.3979374170303345,0.29969772696495056,5.234308242797852,0.06613016128540039,0.2956613004207611,0.20083974301815033
9,4.189742088317871,0.17780938744544983,0.43127667903900146,0.3336593210697174,5.510962963104248,0.06648005545139313,0.297410786151886,0.20783765614032745
10,3.966435432434082,0.2194167822599411,0.4747510552406311,0.3817567527294159,6.154675006866455,0.06368089467287064,0.2771168649196625,0.1966410130262375
